query,rank,score,doc_id,source,question_id,title,tags,link,snippet,stack_score,answer_count,view_count
What is the difference between artificial intelligence and machine learning?,1,0.88591,ai:35,ai,35,What is the difference between artificial intelligence and machine learning?,"machine-learning, comparison, terminology, ai-field",https://ai.stackexchange.com/questions/35/what-is-the-difference-between-artificial-intelligence-and-machine-learning,"Title: What is the difference between artificial intelligence and machine learning? Body: These two terms seem to be related, especially in their application in computer science an...",102,9,17628
What is the difference between artificial intelligence and machine learning?,2,0.869088,datascience:19077,datascience,19077,Difference between machine learning and artificial intelligence,"machine-learning, ai, theory",https://datascience.stackexchange.com/questions/19077/difference-between-machine-learning-and-artificial-intelligence,Title: Difference between machine learning and artificial intelligence Body: Is there any difference between machine learning and artificial intelligence? Or do these terms refer t...,13,8,1794
What is the difference between artificial intelligence and machine learning?,3,0.703852,ai:7446,ai,7446,What is the difference between artificial intelligence and computational intelligence?,"comparison, terminology, definitions",https://ai.stackexchange.com/questions/7446/what-is-the-difference-between-artificial-intelligence-and-computational-intelli,"Title: What is the difference between artificial intelligence and computational intelligence? Body: Having analyzed and reviewed a certain amount of articles and questions, apparen...",15,2,10733
What is the difference between artificial intelligence and machine learning?,4,0.681209,ai:1847,ai,1847,What is the difference between artificial intelligence and cognitive science?,"terminology, comparison, cognitive-science",https://ai.stackexchange.com/questions/1847/what-is-the-difference-between-artificial-intelligence-and-cognitive-science,Title: What is the difference between artificial intelligence and cognitive science? Body: Sometimes I understand that people doing cognitive science try to avoid the term artifici...,7,2,727
What is the difference between artificial intelligence and machine learning?,5,0.653679,ai:1742,ai,1742,What is the difference between machine learning and deep learning?,"machine-learning, deep-learning, comparison",https://ai.stackexchange.com/questions/1742/what-is-the-difference-between-machine-learning-and-deep-learning,Title: What is the difference between machine learning and deep learning? Body: Can someone explain to me the difference between machine learning and deep learning? Is it possible...,23,5,4069
What is the difference between artificial intelligence and machine learning?,6,0.648628,ai:1462,ai,1462,What is the difference between artificial intelligence and robots?,"terminology, robotics, robots, comparison",https://ai.stackexchange.com/questions/1462/what-is-the-difference-between-artificial-intelligence-and-robots,"Title: What is the difference between artificial intelligence and robots? Body: What is the difference between artificial intelligence and robots? Tags: terminology, robotics, robo...",8,6,12820
What is the difference between artificial intelligence and machine learning?,7,0.642126,ai:9305,ai,9305,Which problems in AI are not machine learning?,machine-learning,https://ai.stackexchange.com/questions/9305/which-problems-in-ai-are-not-machine-learning,Title: Which problems in AI are not machine learning? Body: Which problems in AI are not machine learning? Which problems involve both AI and machine learning? Tags: machine-learni...,8,1,5640
What is the difference between artificial intelligence and machine learning?,8,0.637609,ai:91,ai,91,Are search engines considered AI?,"machine-learning, philosophy, definitions",https://ai.stackexchange.com/questions/91/are-search-engines-considered-ai,"...you ads of what you've searched for recently? Is this considered AI or just smart? Tags: machine-learning, philosophy, definitions",17,1,599
What is the difference between artificial intelligence and machine learning?,9,0.609378,ai:28,ai,28,Is a genetic algorithm an example of artificial intelligence?,"philosophy, genetic-algorithms, terminology",https://ai.stackexchange.com/questions/28/is-a-genetic-algorithm-an-example-of-artificial-intelligence,"Title: Is a genetic algorithm an example of artificial intelligence? Body: Since human intelligence presumably is a function of a natural genetic algorithm in nature, is using a ge...",14,5,9740
What is the difference between artificial intelligence and machine learning?,10,0.603355,ai:4328,ai,4328,"What are the differences between machine learning, pattern recognition and data mining?","machine-learning, pattern-recognition, comparison, data-mining",https://ai.stackexchange.com/questions/4328/what-are-the-differences-between-machine-learning-pattern-recognition-and-data,"Title: What are the differences between machine learning, pattern recognition and data mining? Body: I know a little about these subjects. I found them similar to each other. Can a...",8,3,4093
What are deconvolutional layers in convolutional neural networks?,1,0.704796,datascience:6107,datascience,6107,What are deconvolutional layers?,"neural-network, convolutional-neural-network, convolution",https://datascience.stackexchange.com/questions/6107/what-are-deconvolutional-layers,"Title: What are deconvolutional layers? Body: I recently read Fully Convolutional Networks for Semantic Segmentation by Jonathan Long, Evan Shelhamer, Trevor Darrell. I don't under...",285,12,282479
What are deconvolutional layers in convolutional neural networks?,2,0.637331,datascience:17241,datascience,17241,What is a 1D Convolutional Layer in Deep Learning?,"deep-learning, nlp, convolution",https://datascience.stackexchange.com/questions/17241/what-is-a-1d-convolutional-layer-in-deep-learning,Title: What is a 1D Convolutional Layer in Deep Learning? Body: I have a good general understanding of the role and mechanism of convolutional layers in Deep Learning for image pro...,15,1,19370
What are deconvolutional layers in convolutional neural networks?,3,0.63258,datascience:22387,datascience,22387,What is the difference between Dilated Convolution and Deconvolution?,"machine-learning, deep-learning, computer-vision, convolutional-neural-network, convolution",https://datascience.stackexchange.com/questions/22387/what-is-the-difference-between-dilated-convolution-and-deconvolution,...o convolution operations are very common in deep learning right now. I read about dilated convolutional layer in this paper : WAVENET: A GENERATIVE MODEL FOR RAW AUDIO and De-convo...,14,3,18795
What are deconvolutional layers in convolutional neural networks?,4,0.565095,datascience:16463,datascience,16463,What is/are the default filters used by Keras Convolution2d()?,"keras, convolutional-neural-network",https://datascience.stackexchange.com/questions/16463/what-is-are-the-default-filters-used-by-keras-convolution2d,"...: What is/are the default filters used by Keras Convolution2d()? Body: I am pretty new to neural networks, but I understand linear algebra and the mathematics of convolution pretty...",35,2,22299
What are deconvolutional layers in convolutional neural networks?,5,0.533688,ai:5546,ai,5546,What is the difference between a convolutional neural network and a regular neural network?,"neural-networks, convolutional-neural-networks, comparison, terminology, definitions",https://ai.stackexchange.com/questions/5546/what-is-the-difference-between-a-convolutional-neural-network-and-a-regular-neur,"Title: What is the difference between a convolutional neural network and a regular neural network? Body: I've seen these terms thrown around this site a lot, specifically in the ta...",43,5,83017
What are deconvolutional layers in convolutional neural networks?,6,0.525495,datascience:51470,datascience,51470,"What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D?","machine-learning, neural-network, deep-learning, keras, cnn",https://datascience.stackexchange.com/questions/51470/what-are-the-differences-between-convolutional1d-convolutional2d-and-convoluti,"Title: What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D? Body: I've been learning about Convolutional Neural Networks. When looking at Keras e...",21,2,14943
What are deconvolutional layers in convolutional neural networks?,7,0.522697,datascience:15903,datascience,15903,Why do convolutional neural networks work?,"machine-learning, deep-learning, neural-network, cnn, convolutional-neural-network",https://datascience.stackexchange.com/questions/15903/why-do-convolutional-neural-networks-work,Title: Why do convolutional neural networks work? Body: I have often heard people saying that why convolutional neural networks are still poorly understood. Is it known why convolu...,36,6,17287
What are deconvolutional layers in convolutional neural networks?,8,0.512223,ai:42,ai,42,What is the purpose of the hidden layers?,"neural-networks, deep-learning, deep-neural-networks, hidden-layers",https://ai.stackexchange.com/questions/42/what-is-the-purpose-of-the-hidden-layers,"Title: What is the purpose of the hidden layers? Body: Why would anybody want to use ""hidden layers""? How do they enhance the learning ability of the network in comparison to the n...",7,4,4670
What are deconvolutional layers in convolutional neural networks?,9,0.512165,datascience:64278,datascience,64278,What is a channel in a CNN?,"machine-learning, neural-network, cnn",https://datascience.stackexchange.com/questions/64278/what-is-a-channel-in-a-cnn,"Title: What is a channel in a CNN? Body: I was reading an article about convolutional neural networks, and I found something that I don't understand, which is: The filter must have...",29,4,84814
What are deconvolutional layers in convolutional neural networks?,10,0.50597,datascience:18341,datascience,18341,How are weights represented in a convolution neural network?,"neural-network, convolutional-neural-network",https://datascience.stackexchange.com/questions/18341/how-are-weights-represented-in-a-convolution-neural-network,"Title: How are weights represented in a convolution neural network? Body: I have been trying to develop a convolution neural network following some guides online . However, most gu...",13,3,37652
How do I set class weights for imbalanced classes in Keras?,1,0.846817,datascience:13490,datascience,13490,How to set class weights for imbalanced classes in Keras?,"deep-learning, classification, keras, weighted-data",https://datascience.stackexchange.com/questions/13490/how-to-set-class-weights-for-imbalanced-classes-in-keras,"Title: How to set class weights for imbalanced classes in Keras? Body: I know that there is a possibility in Keras with the class_weights parameter dictionary at fitting, but I cou...",266,10,444305
How do I set class weights for imbalanced classes in Keras?,2,0.696643,datascience:44883,datascience,44883,Deep network not able to learn imbalanced data beyond the dominant class,"deep-learning, keras, tensorflow, multiclass-classification, class-imbalance",https://datascience.stackexchange.com/questions/44883/deep-network-not-able-to-learn-imbalanced-data-beyond-the-dominant-class,Title: Deep network not able to learn imbalanced data beyond the dominant class Body: I have data with 5 output classes. The training data has the following no of samples for these...,13,6,13832
How do I set class weights for imbalanced classes in Keras?,3,0.618499,datascience:48369,datascience,48369,What loss function to use for imbalanced classes (using PyTorch)?,"neural-network, pytorch",https://datascience.stackexchange.com/questions/48369/what-loss-function-to-use-for-imbalanced-classes-using-pytorch,Title: What loss function to use for imbalanced classes (using PyTorch)? Body: I have a dataset with 3 classes with the following items: Class 1: 900 elements Class 2: 15000 elemen...,52,3,51917
How do I set class weights for imbalanced classes in Keras?,4,0.566112,datascience:44755,datascience,44755,Why doesn't class weight resolve the imbalanced classification problem?,"classification, class-imbalance, weighted-data",https://datascience.stackexchange.com/questions/44755/why-doesnt-class-weight-resolve-the-imbalanced-classification-problem,"Title: Why doesn't class weight resolve the imbalanced classification problem? Body: I know that in imbalanced classification, the classifier tends to predict all the test labels a...",14,1,7231
How do I set class weights for imbalanced classes in Keras?,5,0.544653,datascience:16342,datascience,16342,Unbalanced multiclass data with XGBoost,"classification, xgboost, multiclass-classification, class-imbalance",https://datascience.stackexchange.com/questions/16342/unbalanced-multiclass-data-with-xgboost,Title: Unbalanced multiclass data with XGBoost Body: I have 3 classes with this distribution: Class 0: 0.1169 Class 1: 0.7668 Class 2: 0.1163 And I am using xgboost for classificat...,42,6,56250
How do I set class weights for imbalanced classes in Keras?,6,0.541761,datascience:31129,datascience,31129,Sample Importance (Training Weights) in Keras,"neural-network, keras, weighted-data",https://datascience.stackexchange.com/questions/31129/sample-importance-training-weights-in-keras,Title: Sample Importance (Training Weights) in Keras Body: How do you add more importance to some samples than others (sample weights) in Keras? I'm not looking for class_weight wh...,20,2,32750
How do I set class weights for imbalanced classes in Keras?,7,0.503795,datascience:12886,datascience,12886,Tensorflow Adjusting Cost Function for Imbalanced Data,"tensorflow, loss-function",https://datascience.stackexchange.com/questions/12886/tensorflow-adjusting-cost-function-for-imbalanced-data,Title: Tensorflow Adjusting Cost Function for Imbalanced Data Body: I have a classification problem with highly imbalanced data. I have read that over and undersampling as well as...,13,3,14423
How do I set class weights for imbalanced classes in Keras?,8,0.486576,ai:4889,ai,4889,"How to implement an ""unknown"" class in multi-class classification with neural networks?","deep-learning, classification, image-recognition, implementation, multiclass-classification",https://ai.stackexchange.com/questions/4889/how-to-implement-an-unknown-class-in-multi-class-classification-with-neural-ne,"Title: How to implement an ""unknown"" class in multi-class classification with neural networks? Body: For example, I need to detect classes for MNIST data. But I want to have not 10...",20,2,14604
How do I set class weights for imbalanced classes in Keras?,9,0.481288,datascience:32818,datascience,32818,"Train, test split of unbalanced dataset classification","python, classification, training",https://datascience.stackexchange.com/questions/32818/train-test-split-of-unbalanced-dataset-classification,"Title: Train, test split of unbalanced dataset classification Body: I have a model that does binary classification. My dataset is highly unbalanced, so I thought that I should bala...",22,4,81049
How do I set class weights for imbalanced classes in Keras?,10,0.465286,datascience:8820,datascience,8820,Unbalanced classes -- How to minimize false negatives?,"classification, random-forest, decision-trees, class-imbalance",https://datascience.stackexchange.com/questions/8820/unbalanced-classes-how-to-minimize-false-negatives,Title: Unbalanced classes -- How to minimize false negatives? Body: I have a dataset that has a binary class attribute. There are 623 instances with class +1 (cancer positive) and...,13,3,24360
What is the dying ReLU problem in neural networks?,1,0.807607,datascience:5706,datascience,5706,"What is the ""dying ReLU"" problem in neural networks?","machine-learning, neural-network, deep-learning",https://datascience.stackexchange.com/questions/5706/what-is-the-dying-relu-problem-in-neural-networks,"Title: What is the ""dying ReLU"" problem in neural networks? Body: Referring to the Stanford course notes on Convolutional Neural Networks for Visual Recognition , a paragraph says:...",200,6,163947
What is the dying ReLU problem in neural networks?,2,0.637448,datascience:18810,datascience,18810,How to check for dead relu neurons,"machine-learning, deep-learning, neural-network, keras",https://datascience.stackexchange.com/questions/18810/how-to-check-for-dead-relu-neurons,"Title: How to check for dead relu neurons Body: Background: While fitting neural networks with relu activation, I found that sometimes the prediction becomes near constant. I belie...",13,3,9492
What is the dying ReLU problem in neural networks?,3,0.593489,ai:40576,ai,40576,Why use ReLU over Leaky ReLU?,"machine-learning, deep-learning, backpropagation, gradient-descent, activation-functions",https://ai.stackexchange.com/questions/40576/why-use-relu-over-leaky-relu,Title: Why use ReLU over Leaky ReLU? Body: From my understanding a leaky ReLU attempts to address issues of vanishing gradients and nonzero-centeredness by keeping neurons that fir...,12,1,10148
What is the dying ReLU problem in neural networks?,4,0.56231,ai:6468,ai,6468,Why do we prefer ReLU over linear activation functions?,"neural-networks, deep-learning, comparison, activation-functions, relu",https://ai.stackexchange.com/questions/6468/why-do-we-prefer-relu-over-linear-activation-functions,"Title: Why do we prefer ReLU over linear activation functions? Body: The ReLU activation function is defined as follows $$y = \operatorname{max}(0,x)$$ And the linear activation fu...",11,2,8973
What is the dying ReLU problem in neural networks?,5,0.554652,datascience:102724,datascience,102724,"Why deep learning models still use RELU instead of SELU, as their activation function?","machine-learning, deep-learning, neural-network, activation-function",https://datascience.stackexchange.com/questions/102724/why-deep-learning-models-still-use-relu-instead-of-selu-as-their-activation-fun,"Title: Why deep learning models still use RELU instead of SELU, as their activation function? Body: I am a trying to understand the SELU activation function and I was wondering why...",21,2,13674
What is the dying ReLU problem in neural networks?,6,0.544224,datascience:23493,datascience,23493,Why ReLU is better than the other activation functions,"machine-learning, neural-network, deep-learning, gradient-descent, activation-function",https://datascience.stackexchange.com/questions/23493/why-relu-is-better-than-the-other-activation-functions,Title: Why ReLU is better than the other activation functions Body: Here the answer refers to vanishing and exploding gradients that has been in sigmoid -like activation functions...,23,2,39485
What is the dying ReLU problem in neural networks?,7,0.529031,datascience:26475,datascience,26475,Why is ReLU used as an activation function?,"machine-learning, neural-network, deep-learning, activation-function",https://datascience.stackexchange.com/questions/26475/why-is-relu-used-as-an-activation-function,Title: Why is ReLU used as an activation function? Body: Activation functions are used to introduce non-linearities in the linear output of the type w * x + b in a neural network....,48,4,35628
What is the dying ReLU problem in neural networks?,8,0.517199,ai:7274,ai,7274,What are the advantages of ReLU vs Leaky ReLU and Parametric ReLU (if any)?,"neural-networks, activation-functions, relu",https://ai.stackexchange.com/questions/7274/what-are-the-advantages-of-relu-vs-leaky-relu-and-parametric-relu-if-any,Title: What are the advantages of ReLU vs Leaky ReLU and Parametric ReLU (if any)? Body: I think that the advantage of using Leaky ReLU instead of ReLU is that in this way we canno...,23,1,29593
What is the dying ReLU problem in neural networks?,9,0.490555,datascience:20012,datascience,20012,Does Batch Normalization make sense for a ReLU activation function?,"machine-learning, neural-network, deep-learning, batch-normalization",https://datascience.stackexchange.com/questions/20012/does-batch-normalization-make-sense-for-a-relu-activation-function,Title: Does Batch Normalization make sense for a ReLU activation function? Body: Batch Normalization is described in this paper as a normalization of the input to an activation fun...,14,3,12697
What is the dying ReLU problem in neural networks?,10,0.488985,ai:2349,ai,2349,Are ReLUs incapable of solving certain problems?,"neural-networks, activation-functions, function-approximation, relu, sigmoid",https://ai.stackexchange.com/questions/2349/are-relus-incapable-of-solving-certain-problems,"Title: Are ReLUs incapable of solving certain problems? Body: Background I've been interested in and reading about neural networks for several years, but I haven't gotten around to...",10,3,2435
