query,rank,score,doc_id,source,question_id,title,tags,link,snippet,stack_score,answer_count,view_count
What is the difference between artificial intelligence and machine learning?,1,22.033671,datascience:19077,datascience,19077,Difference between machine learning and artificial intelligence,"machine-learning, ai, theory",https://datascience.stackexchange.com/questions/19077/difference-between-machine-learning-and-artificial-intelligence,Difference between machine learning and artificial intelligence Difference between machine learning and artificial intelligence Is there any difference between machine learning and...,13,8,1794
What is the difference between artificial intelligence and machine learning?,2,18.972563,ai:35,ai,35,What is the difference between artificial intelligence and machine learning?,"machine-learning, comparison, terminology, ai-field",https://ai.stackexchange.com/questions/35/what-is-the-difference-between-artificial-intelligence-and-machine-learning,What is the difference between artificial intelligence and machine learning? What is the difference between artificial intelligence and machine learning? These two terms seem to be...,102,9,17628
What is the difference between artificial intelligence and machine learning?,3,16.13872,ai:2738,ai,2738,How is Bayes' Theorem used in artificial intelligence and machine learning?,"machine-learning, applications, bayes-theorem",https://ai.stackexchange.com/questions/2738/how-is-bayes-theorem-used-in-artificial-intelligence-and-machine-learning,How is Bayes' Theorem used in artificial intelligence and machine learning? How is Bayes' Theorem used in artificial intelligence and machine learning? How is Bayes' Theorem used i...,11,3,10043
What is the difference between artificial intelligence and machine learning?,4,15.919972,ai:2306,ai,2306,What are the top artificial intelligence journals?,research,https://ai.stackexchange.com/questions/2306/what-are-the-top-artificial-intelligence-journals,What are the top artificial intelligence journals? What are the top artificial intelligence journals? What are the top artificial intelligence journals? I am looking for general ar...,10,4,1828
What is the difference between artificial intelligence and machine learning?,5,15.676151,ai:1462,ai,1462,What is the difference between artificial intelligence and robots?,"terminology, robotics, robots, comparison",https://ai.stackexchange.com/questions/1462/what-is-the-difference-between-artificial-intelligence-and-robots,What is the difference between artificial intelligence and robots? What is the difference between artificial intelligence and robots? What is the difference between artificial inte...,8,6,12820
What is the difference between artificial intelligence and machine learning?,6,15.113489,ai:1847,ai,1847,What is the difference between artificial intelligence and cognitive science?,"terminology, comparison, cognitive-science",https://ai.stackexchange.com/questions/1847/what-is-the-difference-between-artificial-intelligence-and-cognitive-science,What is the difference between artificial intelligence and cognitive science? What is the difference between artificial intelligence and cognitive science? Sometimes I understand t...,7,2,727
What is the difference between artificial intelligence and machine learning?,7,14.658173,ai:3175,ai,3175,What are examples of techniques to prevent bias in artificial intelligence systems?,"machine-learning, datasets, social, ai-safety, algorithmic-bias",https://ai.stackexchange.com/questions/3175/what-are-examples-of-techniques-to-prevent-bias-in-artificial-intelligence-syste,What are examples of techniques to prevent bias in artificial intelligence systems? What are examples of techniques to prevent bias in artificial intelligence systems? I recently r...,8,2,459
What is the difference between artificial intelligence and machine learning?,8,14.16538,ai:16646,ai,16646,Is artificial intelligence really just human intelligence?,"philosophy, intelligence, artificial-creativity",https://ai.stackexchange.com/questions/16646/is-artificial-intelligence-really-just-human-intelligence,"Is artificial intelligence really just human intelligence? Is artificial intelligence really just human intelligence? Essentially, AI is created by human minds, so is the intellige...",8,8,1741
What is the difference between artificial intelligence and machine learning?,9,13.93438,ai:7446,ai,7446,What is the difference between artificial intelligence and computational intelligence?,"comparison, terminology, definitions",https://ai.stackexchange.com/questions/7446/what-is-the-difference-between-artificial-intelligence-and-computational-intelli,What is the difference between artificial intelligence and computational intelligence? What is the difference between artificial intelligence and computational intelligence? Having...,15,2,10733
What is the difference between artificial intelligence and machine learning?,10,13.65055,ai:16,ai,16,"What is ""early stopping"" in machine learning?","deep-learning, definitions, overfitting, regularization, early-stopping",https://ai.stackexchange.com/questions/16/what-is-early-stopping-in-machine-learning,"What is ""early stopping"" in machine learning? What is ""early stopping"" in machine learning? What is early stopping in machine learning and, in general, artificial intelligence? Wha...",10,1,878
What are deconvolutional layers in convolutional neural networks?,1,22.192062,datascience:6107,datascience,6107,What are deconvolutional layers?,"neural-network, convolutional-neural-network, convolution",https://datascience.stackexchange.com/questions/6107/what-are-deconvolutional-layers,"What are deconvolutional layers? What are deconvolutional layers? I recently read Fully Convolutional Networks for Semantic Segmentation by Jonathan Long, Evan Shelhamer, Trevor Da...",285,12,282479
What are deconvolutional layers in convolutional neural networks?,2,17.607478,datascience:15903,datascience,15903,Why do convolutional neural networks work?,"machine-learning, deep-learning, neural-network, cnn, convolutional-neural-network",https://datascience.stackexchange.com/questions/15903/why-do-convolutional-neural-networks-work,Why do convolutional neural networks work? Why do convolutional neural networks work? I have often heard people saying that why convolutional neural networks are still poorly under...,36,6,17287
What are deconvolutional layers in convolutional neural networks?,3,13.97097,ai:1978,ai,1978,Do deep learning algorithms represent ensemble-based methods?,"neural-networks, deep-learning, convolutional-neural-networks, computer-vision, ensemble-learning",https://ai.stackexchange.com/questions/1978/do-deep-learning-algorithms-represent-ensemble-based-methods,"...t to model high-level abstractions in data by using a deep graph with multiple processing layers, composed of multiple linear and non-linear transformations. Various deep learning...",11,2,1947
What are deconvolutional layers in convolutional neural networks?,4,12.967898,ai:21810,ai,21810,What is a fully convolution network?,"machine-learning, convolutional-neural-networks, computer-vision, image-segmentation, fully-convolutional-networks",https://ai.stackexchange.com/questions/21810/what-is-a-fully-convolution-network,"...rk? What is a fully convolution network? I was surveying some literature related to Fully Convolutional Networks and came across the following phrase, A fully convolutional network...",21,1,38009
What are deconvolutional layers in convolutional neural networks?,5,12.577344,ai:13692,ai,13692,When should I use 3D convolutions?,"convolutional-neural-networks, reference-request, convolution, convolutional-layers, 3d-convolution",https://ai.stackexchange.com/questions/13692/when-should-i-use-3d-convolutions,"When should I use 3D convolutions? When should I use 3D convolutions? I am new to convolutional neural networks, and I am learning 3D convolution. What I could understand is that 2...",11,2,8965
What are deconvolutional layers in convolutional neural networks?,6,12.541757,datascience:51470,datascience,51470,"What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D?","machine-learning, neural-network, deep-learning, keras, cnn",https://datascience.stackexchange.com/questions/51470/what-are-the-differences-between-convolutional1d-convolutional2d-and-convoluti,"What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D? What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D? I've...",21,2,14943
What are deconvolutional layers in convolutional neural networks?,7,12.071487,ai:5862,ai,5862,Why aren't there neural networks that connect the output of each layer to all next layers?,"neural-networks, feedforward-neural-networks, hidden-layers, residual-networks",https://ai.stackexchange.com/questions/5862/why-arent-there-neural-networks-that-connect-the-output-of-each-layer-to-all-ne,Why aren't there neural networks that connect the output of each layer to all next layers? Why aren't there neural networks that connect the output of each layer to all next layers...,9,1,975
What are deconvolutional layers in convolutional neural networks?,8,12.019565,ai:8323,ai,8323,How to handle rectangular images in convolutional neural networks?,"neural-networks, convolutional-neural-networks, fully-convolutional-networks",https://ai.stackexchange.com/questions/8323/how-to-handle-rectangular-images-in-convolutional-neural-networks,How to handle rectangular images in convolutional neural networks? How to handle rectangular images in convolutional neural networks? Almost all the convolutional neural network ar...,10,2,15866
What are deconvolutional layers in convolutional neural networks?,9,11.856026,datascience:26597,datascience,26597,How to set the number of neurons and layers in neural networks,"machine-learning, neural-network, deep-learning, hyperparameter, hyperparameter-tuning",https://datascience.stackexchange.com/questions/26597/how-to-set-the-number-of-neurons-and-layers-in-neural-networks,How to set the number of neurons and layers in neural networks How to set the number of neurons and layers in neural networks I am a beginner to neural networks and have had troubl...,41,6,11634
What are deconvolutional layers in convolutional neural networks?,10,11.710486,ai:7865,ai,7865,Which layer in a CNN consumes more training time: convolution layers or fully connected layers?,"neural-networks, deep-learning, convolutional-neural-networks, training",https://ai.stackexchange.com/questions/7865/which-layer-in-a-cnn-consumes-more-training-time-convolution-layers-or-fully-co,Which layer in a CNN consumes more training time: convolution layers or fully connected layers? Which layer in a CNN consumes more training time: convolution layers or fully connec...,13,2,7284
How do I set class weights for imbalanced classes in Keras?,1,32.996294,datascience:13490,datascience,13490,How to set class weights for imbalanced classes in Keras?,"deep-learning, classification, keras, weighted-data",https://datascience.stackexchange.com/questions/13490/how-to-set-class-weights-for-imbalanced-classes-in-keras,How to set class weights for imbalanced classes in Keras? How to set class weights for imbalanced classes in Keras? I know that there is a possibility in Keras with the class_weigh...,266,10,444305
How do I set class weights for imbalanced classes in Keras?,2,23.280822,datascience:44883,datascience,44883,Deep network not able to learn imbalanced data beyond the dominant class,"deep-learning, keras, tensorflow, multiclass-classification, class-imbalance",https://datascience.stackexchange.com/questions/44883/deep-network-not-able-to-learn-imbalanced-data-beyond-the-dominant-class,Deep network not able to learn imbalanced data beyond the dominant class Deep network not able to learn imbalanced data beyond the dominant class I have data with 5 output classes....,13,6,13832
How do I set class weights for imbalanced classes in Keras?,3,18.837304,datascience:36862,datascience,36862,Macro- or micro-average for imbalanced class problems,"machine-learning, model-evaluations, class-imbalance",https://datascience.stackexchange.com/questions/36862/macro-or-micro-average-for-imbalanced-class-problems,Macro- or micro-average for imbalanced class problems Macro- or micro-average for imbalanced class problems The question of whether to use macro- or micro-averages when the data is...,20,4,26847
How do I set class weights for imbalanced classes in Keras?,4,17.74277,datascience:48369,datascience,48369,What loss function to use for imbalanced classes (using PyTorch)?,"neural-network, pytorch",https://datascience.stackexchange.com/questions/48369/what-loss-function-to-use-for-imbalanced-classes-using-pytorch,What loss function to use for imbalanced classes (using PyTorch)? What loss function to use for imbalanced classes (using PyTorch)? I have a dataset with 3 classes with the followi...,52,3,51917
How do I set class weights for imbalanced classes in Keras?,5,14.879306,datascience:44755,datascience,44755,Why doesn't class weight resolve the imbalanced classification problem?,"classification, class-imbalance, weighted-data",https://datascience.stackexchange.com/questions/44755/why-doesnt-class-weight-resolve-the-imbalanced-classification-problem,Why doesn't class weight resolve the imbalanced classification problem? Why doesn't class weight resolve the imbalanced classification problem? I know that in imbalanced classifica...,14,1,7231
How do I set class weights for imbalanced classes in Keras?,6,14.612408,ai:4889,ai,4889,"How to implement an ""unknown"" class in multi-class classification with neural networks?","deep-learning, classification, image-recognition, implementation, multiclass-classification",https://ai.stackexchange.com/questions/4889/how-to-implement-an-unknown-class-in-multi-class-classification-with-neural-ne,"How to implement an ""unknown"" class in multi-class classification with neural networks? How to implement an ""unknown"" class in multi-class classification with neural networks? For...",20,2,14604
How do I set class weights for imbalanced classes in Keras?,7,14.427566,datascience:14415,datascience,14415,How does Keras calculate accuracy?,"neural-network, deep-learning, keras",https://datascience.stackexchange.com/questions/14415/how-does-keras-calculate-accuracy,"How does Keras calculate accuracy? How does Keras calculate accuracy? How does Keras calculate accuracy from the classwise probabilities? Say, for example we have 100 samples in th...",39,1,56754
How do I set class weights for imbalanced classes in Keras?,8,13.44246,datascience:1107,datascience,1107,Quick guide into training highly imbalanced data sets,"machine-learning, classification, dataset, class-imbalance",https://datascience.stackexchange.com/questions/1107/quick-guide-into-training-highly-imbalanced-data-sets,Quick guide into training highly imbalanced data sets Quick guide into training highly imbalanced data sets I have a classification problem with approximately 1000 positive and 100...,35,4,16181
How do I set class weights for imbalanced classes in Keras?,9,13.247156,datascience:310,datascience,310,"One-Class discriminatory classification with imbalanced, heterogenous Negative background?","machine-learning, data-mining, python, classification",https://datascience.stackexchange.com/questions/310/one-class-discriminatory-classification-with-imbalanced-heterogenous-negative-b,"One-Class discriminatory classification with imbalanced, heterogenous Negative background? One-Class discriminatory classification with imbalanced, heterogenous Negative background...",17,3,3023
How do I set class weights for imbalanced classes in Keras?,10,13.134933,datascience:16342,datascience,16342,Unbalanced multiclass data with XGBoost,"classification, xgboost, multiclass-classification, class-imbalance",https://datascience.stackexchange.com/questions/16342/unbalanced-multiclass-data-with-xgboost,Unbalanced multiclass data with XGBoost Unbalanced multiclass data with XGBoost I have 3 classes with this distribution: Class 0: 0.1169 Class 1: 0.7668 Class 2: 0.1163 And I am us...,42,6,56250
What is the dying ReLU problem in neural networks?,1,24.127748,datascience:5706,datascience,5706,"What is the ""dying ReLU"" problem in neural networks?","machine-learning, neural-network, deep-learning",https://datascience.stackexchange.com/questions/5706/what-is-the-dying-relu-problem-in-neural-networks,"What is the ""dying ReLU"" problem in neural networks? What is the ""dying ReLU"" problem in neural networks? Referring to the Stanford course notes on Convolutional Neural Networks fo...",200,6,163947
What is the dying ReLU problem in neural networks?,2,21.05369,datascience:18810,datascience,18810,How to check for dead relu neurons,"machine-learning, deep-learning, neural-network, keras",https://datascience.stackexchange.com/questions/18810/how-to-check-for-dead-relu-neurons,"How to check for dead relu neurons How to check for dead relu neurons Background: While fitting neural networks with relu activation, I found that sometimes the prediction becomes...",13,3,9492
What is the dying ReLU problem in neural networks?,3,10.78641,ai:9828,ai,9828,What happens when I mix activation functions?,"neural-networks, machine-learning, activation-functions, relu, sigmoid",https://ai.stackexchange.com/questions/9828/what-happens-when-i-mix-activation-functions,"...happens when I mix activation functions? There are several activation functions, such as ReLU, sigmoid or $\tanh$ . What happens when I mix activation functions? I recently found...",9,1,4329
What is the dying ReLU problem in neural networks?,4,9.889884,datascience:14349,datascience,14349,Difference of Activation Functions in Neural Networks in general,"neural-network, activation-function",https://datascience.stackexchange.com/questions/14349/difference-of-activation-functions-in-neural-networks-in-general,Difference of Activation Functions in Neural Networks in general Difference of Activation Functions in Neural Networks in general I have studied the activation function types for n...,22,1,20609
What is the dying ReLU problem in neural networks?,5,9.754422,ai:2874,ai,2874,Can neural networks efficiently solve the traveling salesmen problem?,"neural-networks, reference-request, time-complexity, efficiency, travelling-salesman-problem",https://ai.stackexchange.com/questions/2874/can-neural-networks-efficiently-solve-the-traveling-salesmen-problem,Can neural networks efficiently solve the traveling salesmen problem? Can neural networks efficiently solve the traveling salesmen problem? Can neural networks efficiently solve th...,8,2,1092
What is the dying ReLU problem in neural networks?,6,9.706955,datascience:28328,datascience,28328,How does multicollinearity affect neural networks?,"neural-network, correlation",https://datascience.stackexchange.com/questions/28328/how-does-multicollinearity-affect-neural-networks,How does multicollinearity affect neural networks? How does multicollinearity affect neural networks? Multicollinearity is a problem for linear regression because the results becom...,22,3,15871
What is the dying ReLU problem in neural networks?,7,9.369132,ai:5322,ai,5322,Can prior knowledge be encoded in deep neural networks?,"neural-networks, deep-learning, deep-neural-networks, algorithmic-bias, inductive-bias",https://ai.stackexchange.com/questions/5322/can-prior-knowledge-be-encoded-in-deep-neural-networks,Can prior knowledge be encoded in deep neural networks? Can prior knowledge be encoded in deep neural networks? I was reading Gary Marcus's a Critical Appraisal of Deep Learning ....,9,5,2292
What is the dying ReLU problem in neural networks?,8,9.277289,ai:10944,ai,10944,Are there neural networks with very few nodes that decently solve non-trivial problems?,neural-networks,https://ai.stackexchange.com/questions/10944/are-there-neural-networks-with-very-few-nodes-that-decently-solve-non-trivial-pr,Are there neural networks with very few nodes that decently solve non-trivial problems? Are there neural networks with very few nodes that decently solve non-trivial problems? I'm...,11,1,2253
What is the dying ReLU problem in neural networks?,9,8.824567,datascience:19272,datascience,19272,Deep Neural Network - Backpropogation with ReLU,"neural-network, backpropagation",https://datascience.stackexchange.com/questions/19272/deep-neural-network-backpropogation-with-relu,"Deep Neural Network - Backpropogation with ReLU Deep Neural Network - Backpropogation with ReLU I'm having some difficulty in deriving back propagation with ReLU, and I did some wo...",25,1,49629
What is the dying ReLU problem in neural networks?,10,8.69548,ai:6892,ai,6892,What tools are used to deal with adversarial examples problem?,"resource-request, adversarial-ml, ai-safety, ai-security",https://ai.stackexchange.com/questions/6892/what-tools-are-used-to-deal-with-adversarial-examples-problem,What tools are used to deal with adversarial examples problem? What tools are used to deal with adversarial examples problem? The problem of adversarial examples is known to be cri...,11,2,971
